nr_isbn13,nr_egzemplarza,tytul,nr_edycji,autor,rok_wydania,czy_dostepne_online,liczba_stron,id_kategorii,id_filii
978-0-89577-973-1,1,Żaba wysłać słuchać ślad cierpienie 4,,Olga Kutnik,1971,True,312,12,7
978-0-603-10275-2,3,Ogół dzięki plama starać się kształt,2,Stefan Kiełbowicz,1989,False,645,50,4
978-1-77774-909-5,3,Możliwy padać aktywny mieszkanka,4,Miłosz Kochman,2006,True,866,33,5
978-1-349-05270-7,1,Powstanie połączyć martwy pierwiastek chemiczny aktywny wizyta bar,5,Sonia Pasieczna,1980,False,,3,7
978-0-7410-7182-8,1,Średni wspaniały mięso zachód obchodzić ziemniak się brudny,3,Radosław Migała,2019,True,772,41,1
978-0-348-36303-6,3,Danie grób wybrzeże wywoływać społeczeństwo narzędzie użycie szkoła,5,Cezary Pietrak,2004,False,939,8,10
978-1-86296-941-4,1,Umrzeć podobny bezpieczeństwo,5,Janina Wichary,1982,True,429,11,8
978-0-571-97918-9,1,Pieniądz system spadać przyjąć,,Łukasz Labocha,2009,True,443,39,5
978-1-80240-924-6,1,Sobie jadalny drugi szkolny wojsko prezydent,1,pan Konstanty Orszulik,1974,False,484,23,6
978-1-55517-039-4,2,Obraz dla pomoc,3,Sara Hadam,1968,False,747,20,8
978-0-15-622580-9,3,Powód muzyk kuchnia różny zapach badać pytanie biuro,1,Fryderyk Maszczyk,2021,False,522,33,7
978-1-9840-6443-1,3,Szyja brzydki swój,5,Maksymilian Grzegorzak,2025,False,427,14,2
978-0-17-127027-3,1,Historyczny kolor przerwa królestwo,3,Ksawery Doktór,2019,False,282,26,3
978-1-00-193121-0,2,Wewnętrzny związać wyłącznie,1,pani Sonia Moroń,1986,False,953,16,6
978-0-13-502295-5,3,Związać Francja ręka układ okresowy,,Rafał Roszkiewicz,2017,False,521,16,9
978-0-86266-903-4,2,Miękki przynieść pomiędzy szczególny zespół,1,Dariusz Hennig,2012,True,942,9,2
978-1-971131-15-3,3,Telewizja zobaczyć pytać brzydki grecki leczenie wybrać przyprawa,,Lidia Becker,1971,True,240,16,7
978-1-59197-676-9,3,Rynek wpływ,1,Olgierd Kilar,1957,True,484,6,2
978-1-77853-656-4,1,Przejaw bronić różowy administracyjny mądry,1,Apolonia Jędrak,1973,True,631,24,4
978-0-564-92443-1,3,Pozbawić chmura owca mieć,2,Nataniel Rębiś,1988,False,,18,4
978-1-72326-689-8,1,Spadać tańczyć prezent,1,Michał Tokaj,1991,False,976,35,2
978-1-4250-6064-0,1,Początek połączenie późny imię,,Karol Wielgat,1981,False,183,24,2
978-1-76617-557-7,3,Korzeń ciężar władca,3,pani Melania Zegar,1970,False,516,35,9
978-0-89697-998-7,1,Przechodzić wychodzić wystawa,3,Julita Białasik,1979,True,823,23,7
978-0-546-49904-9,2,Lud poznać świeca krok cmentarz okoliczność nieprzyjemny,3,Miłosz Pałac,1957,False,708,12,4
978-0-475-22226-8,3,80 potem oddawać,,pan Wiktor Wywiał,2025,False,834,50,4
978-1-61929-431-8,2,Sytuacja,1,pan Alex Krzyśko,2011,False,,39,5
978-0-7262-2585-7,1,Fakt lecz Piotr muzyk gra ponad wrażenie,,Aurelia Moździerz,1983,True,614,31,1
978-1-174-92419-4,1,Dużo gdzie tworzyć świątynia osiągnąć dokładny ogół,,Róża Drygała,1984,True,142,17,8
978-1-996106-11-2,1,Świnia kto widzieć rozwiązanie,3,Mariusz Ciarka,1956,True,662,40,3
978-1-275-28090-8,1,Odcinek jeść odcień krew coś budować rezultat król okrągły,,pani Julianna Synak,2017,False,164,16,8
978-0-931654-03-9,1,Epoka podróżować książę świecić niewielki małżeństwo medycyna cierpienie umieć,3,Angelika Monkiewicz,1989,True,703,16,3
978-1-369-60966-0,3,Uciekać traktować wiadomość przyrząd określenie ciało zboże,5,pan Przemysław Dub,1953,True,983,31,10
978-1-4791-0668-4,3,Strona złodziej gwałtowny północ,3,Miłosz Łapaj,1988,False,234,46,4
978-1-85640-492-1,1,Noc pochodzenie jabłko,2,Igor Kazimierczyk,1998,True,556,44,2
978-0-9963797-9-3,2,Charakter miasto włożyć niektóry znajdować się rozmowa wóz,4,pan Wojciech Deptuch,1979,False,527,32,5
978-1-312-18409-1,3,Czeski potrawa tarcza ciągle,,Kazimierz Burczak,1955,False,352,48,3
978-0-901419-98-9,2,10 każdy fizyczny dokładny,4,Grzegorz Wolff,1996,True,668,44,9
978-1-269-75885-7,1,Twarz ono stać rodzaj cienki zbiór godność,,Alan Kośnik,2002,False,676,50,4
978-0-7618-4382-5,2,Znajdować Się lekarz złoto Rosja teraz,4,Roksana Rogal,2002,True,143,29,6
978-1-58919-097-9,2,Biuro określony wchodzić,1,pani Liwia Hamrol,1972,False,900,49,4
978-0-18-122039-8,1,Przestrzeń prawy powstać epoka,5,Jeremi Bandyk,1968,True,870,9,7
978-1-158-24723-3,2,Powstanie pić wschodni dziewięćdziesiąt naturalny bycie wujek wejście należeć,,Maksymilian Kunda,1998,True,716,46,5
978-1-395-17949-6,2,Atmosfera ludność zawodowy telewizja,,Kacper Szyc,2021,False,640,18,7
978-1-250-93002-6,2,Zboże interes zakres płakać,2,Jędrzej Materka,1981,False,644,50,6
978-1-72001-453-9,2,Wyłącznie Kościół naród błoto funkcja,5,Piotr Szymajda,1953,True,896,4,9
978-0-283-76570-4,2,Zewnętrzny cukier hasło właściwy,3,pani Kornelia Świerkot,1951,True,320,40,7
978-0-921120-51-3,3,Operacja srebrny bogini,1,Elżbieta Chachuła,1970,False,383,39,2
978-0-580-16383-8,1,Znaczyć przyjęcie znany dziadek wierzyć,5,pan Antoni Kobak,2024,False,,21,1
978-1-200-13304-0,2,Policzek ucho zdolny mur z krwi i kości,5,Tola Berendt,1994,True,571,7,1
978-1-308-39042-0,3,Efekt obiad składnik,3,Jakub Krzyśko,1976,False,649,45,3
978-1-4795-1782-4,2,Babcia jeśli cukier okres to morski próba słońce,2,Kalina Bukowiec,1970,False,727,8,10
978-0-340-27104-9,3,Długość dzisiejszy wioska pisać,,Anita Olbrych,1963,False,824,8,10
978-1-5044-7392-7,1,Toponim 6 urzędnik błąd transport lotnisko położony,,Andrzej Kurp,1990,False,525,23,8
978-1-05-793535-4,3,Smak cena urodzenie,,Tola Mojsa,1953,False,524,21,1
978-1-05-255412-3,2,Światło księżyc,,Marcel Sysło,1968,True,393,27,10
978-1-03-566759-8,3,Kura cena świat gdy liść przybyć,3,Tobiasz Hnat,1962,True,962,3,4
978-1-252-32197-6,1,Wokół relacja centrum 900,5,Wojciech Trzmiel,1985,False,467,11,7
978-1-59843-749-2,3,Delikatny zupa znaczenie dla,3,Sylwia Potok,1985,False,117,16,4
978-1-82598-484-3,3,Jakby niezwykły woda,1,Jeremi Klisz,1952,True,686,47,8
978-1-4947-0090-4,1,Godność praktyka osoba zawartość cały,1,Adam Sędek,2013,True,386,18,1
978-0-85004-147-7,1,Wojna dodatek sztuczny walka mieć na imię gdyby wolny,,Dominik Graś,2019,False,337,4,9
978-1-875652-52-5,2,Biec 20 profesor wiek,3,Olga Sobiło,1984,False,951,39,1
978-1-162-85947-7,1,Niebieski nie program ona pijany odcień dzieło,3,Piotr Boryczko,1963,True,675,42,10
978-1-154-16255-4,2,Liczba skłonność,,Patryk Galos,2016,True,699,35,8
978-1-59971-613-8,2,Październik naprawdę tworzyć,2,Tola Klama,1982,True,,50,8
978-0-323-62407-7,1,Rower żelazo,1,pani Sandra Potoczna,2023,False,757,21,2
978-1-192-97185-9,3,Także wschód zeszły morski zwykle,1,Ksawery Wypiór,1965,True,194,4,3
978-0-645-95200-1,1,Wewnętrzny powstać żołądek ona znak odpowiedź rysunek łatwy tekst otwarty,3,pan Mariusz Hermann,1953,False,672,23,6
978-1-157-27372-1,1,Zachodni seksualny nos ofiara,3,pani Adrianna Pabis,2003,True,288,28,9
978-0-331-35809-4,1,Jutro poczta teoria kapelusz w wyniku kierować niebezpieczny,2,pani Kornelia Folta,1960,False,542,31,7
978-1-80838-727-2,1,Składać ksiądz,3,pan Tadeusz Kabala,2008,False,629,39,6
978-1-08-648986-6,2,? główny płyn źle,2,pan Witold Karpeta,1971,True,422,29,9
978-1-04-904930-4,2,Zachowywać Się niemiecki również mocz nos,2,Kamila Cybul,1957,True,744,43,3
978-0-229-53702-0,2,Energia a raz przeciw masło,,pani Justyna Sommerfeld,1976,False,306,43,9
978-1-316-51207-4,2,Sok miód Holandia zachowywać się wiosna zadanie jedynie 40,2,Alex Pizoń,1983,False,764,27,5
978-1-879944-73-2,3,Lewy kostka angielski,5,Mateusz Synak,1993,False,320,49,1
978-0-910889-32-2,3,Kultura pożar duch ona wyspa pijany urząd należy kaczka,1,Maurycy Kapka,2000,False,399,10,6
978-1-357-17394-4,2,Urodzenie oczekiwać dzielić,4,Aleks Golenia,1950,False,742,49,7
978-1-5458-5359-7,1,Kąt słoneczny palić przy rada pieśń papieros,4,Natasza Ośko,2011,False,809,49,8
978-0-13-924328-8,2,Liczba Atomowa scena istnieć,,Monika Dobosiewicz,1999,False,622,7,5
978-1-75598-006-9,1,W Wyniku typowy dłoń wątpliwość sygnał,,Oskar Gosz,1973,True,551,16,3
978-0-7573-4872-3,2,Specjalny skóra leczenie,,Stanisław Krokosz,2010,True,438,45,7
978-0-9584746-7-2,2,Bank miłość czerwony,1,Marcin Sochaj,2009,False,616,7,9
978-0-9737716-6-4,2,Wywodzić Się wymagać zajmować się zachowywać się,,pan Marcin Drela,1963,False,902,43,6
978-1-82306-628-2,1,Ptak wszelki pochodzić ząb anioł po metoda,1,pani Sandra Małota,1979,True,140,7,3
978-1-924447-96-6,3,Adres niebieski,,Marek Szymajda,1987,False,783,2,10
978-0-548-03636-5,1,Tytoń kwiat zacząć gotowy talerz ona grupa kolumna,,Karol Zaraś,1974,False,154,35,2
978-0-8398-2527-2,1,Wczoraj lubić minerał ze Azja,5,Jerzy Cimoch,1989,False,544,15,3
978-0-7701-3738-0,2,Jako czekolada,3,pani Nela Wojtera,1962,False,651,50,7
978-1-4653-7920-7,3,Danie graniczyć święty samolot ciepło terytorium chrześcijański,,Jędrzej Spólnik,1989,True,977,47,6
978-0-01-440187-1,1,Zimno początek wtorek 10,1,Róża Szarejko,2013,False,644,39,10
978-0-483-41926-1,2,Walczyć należeć ciągle,,pan Marcel Foit,1966,True,822,2,8
978-1-361-03391-3,3,Ocean one radość strata,,Piotr Basa,2018,False,973,49,5
978-1-77155-139-7,1,Ramię nie- poruszać u dyrektor kaczka termin,,Igor Kosman,1950,False,359,2,4
978-0-213-38090-8,2,Miasto motyl,2,Krzysztof Talaśka,2023,False,,10,5
978-1-76226-656-9,1,Szeroki dokładnie wybitny niewielki szkoda,4,Konstanty Kiedrowicz,1976,True,647,2,7
978-1-80699-939-2,1,Nosić mięsień 70 uwaga inaczej według wczesny lato,5,Klara Kuziora,1969,True,722,11,9
978-1-4807-5993-0,1,Robotnik opuścić element okropny nauczycielka dziać się,,Kamil Krakowczyk,1991,True,495,49,7
