id_kary,id_osoby,id_rodzaju_kary,id_wypozyczenia,kwota,data_nalozenia,data_oplacenia,status
1,43,1,1,14.5,2025-01-02,,aktywna
2,166,1,2,18.0,2024-05-01,,aktywna
3,150,1,3,17.0,2024-10-05,,opłacona
4,83,1,4,0.5,2025-09-24,2025-09-26,aktywna
5,117,1,5,5.0,2025-03-04,,aktywna
6,30,1,6,15.0,2025-06-18,2025-06-20,aktywna
7,182,1,7,20.0,2024-04-17,,opłacona
8,86,1,9,16.0,2025-05-06,,aktywna
9,38,1,10,17.5,2025-05-22,,opłacona
10,118,1,15,10.5,2025-06-16,,opłacona
11,56,1,16,10.0,2025-02-05,2025-02-07,opłacona
12,141,1,18,15.0,2025-10-28,,aktywna
13,38,1,19,6.0,2024-03-18,,aktywna
14,9,1,20,21.5,2025-05-04,2025-05-06,opłacona
15,23,1,21,8.0,2024-08-03,,aktywna
16,73,1,22,17.0,2024-07-21,,opłacona
17,197,1,24,6.5,2025-06-02,2025-06-04,aktywna
18,121,1,26,17.0,2024-02-27,2024-02-29,opłacona
19,106,1,27,17.0,2025-03-01,,aktywna
20,147,1,28,15.0,2024-02-20,,opłacona
21,177,1,29,20.0,2024-08-09,2024-08-11,opłacona
22,82,1,30,13.0,2025-06-11,2025-06-13,aktywna
23,145,1,31,18.0,2024-08-19,2024-08-21,opłacona
24,47,1,32,2.0,2025-08-18,2025-08-20,aktywna
25,31,1,33,15.0,2024-05-10,,aktywna
26,12,1,35,12.5,2024-12-07,,aktywna
27,52,1,36,3.0,2025-09-01,,opłacona
28,130,1,37,19.5,2025-01-08,,aktywna
29,86,1,38,18.0,2025-02-25,,aktywna
30,85,1,39,16.5,2024-02-20,2024-02-22,opłacona
31,10,1,40,10.0,2024-10-21,,opłacona
32,138,1,41,9.5,2024-06-28,2024-06-30,aktywna
33,134,1,42,18.0,2025-11-17,2025-11-19,aktywna
34,148,1,43,20.5,2024-09-01,2024-09-03,aktywna
35,97,1,45,21.5,2025-12-02,,opłacona
36,153,1,46,20.0,2025-07-24,2025-07-26,opłacona
37,61,1,48,21.5,2025-04-12,2025-04-14,aktywna
38,78,1,49,6.5,2025-09-21,,aktywna
39,88,1,52,18.0,2025-05-26,2025-05-28,opłacona
40,197,1,53,21.0,2025-04-13,,aktywna
41,10,1,54,17.5,2024-07-19,,aktywna
42,12,1,55,14.0,2025-04-05,,opłacona
43,12,1,56,19.5,2025-07-28,2025-07-30,aktywna
44,195,1,57,1.5,2024-11-08,2024-11-10,aktywna
45,74,1,58,5.0,2024-03-05,2024-03-07,aktywna
46,139,1,61,5.0,2024-11-28,2024-11-30,aktywna
47,181,1,62,13.0,2025-07-25,,aktywna
48,80,1,63,5.5,2024-06-12,2024-06-14,aktywna
49,8,1,64,16.5,2024-10-09,,aktywna
50,14,1,65,7.5,2025-05-20,,opłacona
51,92,1,66,21.0,2025-04-22,,aktywna
52,194,1,67,13.0,2025-05-21,,aktywna
53,179,1,68,9.5,2024-11-08,2024-11-10,opłacona
54,158,1,70,6.5,2025-08-21,2025-08-23,aktywna
55,171,1,71,22.5,2025-05-14,2025-05-16,opłacona
56,197,1,74,13.0,2024-03-10,,aktywna
57,183,1,75,5.0,2025-11-05,,opłacona
58,119,1,76,8.0,2024-06-26,,aktywna
59,17,1,78,21.0,2025-04-18,2025-04-20,opłacona
60,88,1,79,2.5,2025-10-23,,aktywna
61,152,1,81,5.0,2025-04-22,,opłacona
62,154,1,83,10.5,2025-12-11,2025-12-13,opłacona
63,36,1,85,19.0,2025-04-03,,aktywna
64,39,1,86,4.0,2024-11-13,2024-11-15,opłacona
65,53,1,87,5.0,2024-07-04,2024-07-06,opłacona
66,112,1,88,6.0,2025-03-29,,aktywna
67,76,1,90,12.5,2025-06-28,,aktywna
