id_ksiazki,nr_isbn,numer_inwentarzowy,tytul,autor,id_kategorii,id_filii,rok_wydania,numer_edycji,liczba_stron,dostepna_online,opis,status
1,978-0-681-57981-1,619389,Brzeg zapis sprzedawać,Maciej Wylegała,6,1,2006,Edycja 2,112,False,Srebrny służba metoda literacki.,dostępny
2,978-0-8299-7968-8,986088,Jajko urodzić strój znaczny dział,pani Agnieszka Sulik,4,4,1990,Edycja 1,576,False,Wakacje polegać ważny pusty sierpień. Chodzić przejść środek cena stawać się.,wypożyczony
3,978-1-4204-3805-5,857537,Choroba seks żydowski pytać,Marek Pitura,13,2,2023,Edycja 4,499,True,Język wykorzystywać oba centrum imię. Składać Się pokazywać gość spadek.,dostępny
4,978-1-69042-681-3,592296,Wiek palec Morze Śródziemne usuwać zamiar,Sara Glegoła,8,3,2008,Edycja 3,119,False,Zbierać łódź wysoki niszczyć. Danie program przedsiębiorstwo zachowywać się powietrze plecy.,dostępny
5,978-1-333-43333-8,993140,Właśnie podłoga lubić ojciec zmęczony,pan Fryderyk Berdzik,4,3,2006,Edycja 5,765,False,Japonia dwudziesty tablica ulegać niedziela. Piętnaście noc tradycyjny całkiem wtorek wzór dawać.,dostępny
6,978-1-955289-38-2,757246,Młody teoria idea wychodzić zbiornik,Alan Kuszyk,3,4,2006,Edycja 5,676,True,Jeździć elektryczny i biblioteka pogląd. Bułgarski jednocześnie międzynarodowy wojenny strata.,dostępny
7,978-1-890260-12-5,346174,Kolumna dlaczego między żółty,Piotr Cyba,5,3,1996,Edycja 2,870,True,Pani śmiech o filmowy. Członek naturalny związek nagle barwa. Król brzeg Jan.,dostępny
8,978-0-9604432-7-7,203225,Cel przedstawiciel,Urszula Grodek,13,1,2008,Edycja 4,874,True,Niechęć dno czarny 900. Dodać klasa małpa.,dostępny
9,978-0-347-85196-1,130353,Coś norma,Urszula Smektała,8,1,2007,Edycja 3,590,True,Reakcja kościół przybyć średni mięso dany więzienie. Pomarańcza bułgarski sylaba osiągnąć koń.,dostępny
10,978-1-937515-09-6,475876,Płeć chory większy,Konrad Drozda,8,3,1975,Edycja 4,205,True,Oko jak bank turecki. Religia godność miecz pływać znajdować ubranie.,dostępny
