id_rezerwacji,nr_isbn,id_osoby,id_filii,data_rezerwacji,status,wygasa_dnia
1,978-1-06-138782-8,20,5,2025-12-11 17:40:01,oczekująca,2025-12-18
2,978-1-75170-166-8,8,5,2025-12-11 17:39:53,oczekująca,2025-12-18
3,978-1-9848-5833-7,71,1,2025-12-11 17:39:07,zrealizowana,2025-12-18
4,978-0-9520046-1-5,98,5,2025-12-11 17:39:04,oczekująca,2025-12-18
5,978-0-413-26111-3,14,3,2025-12-11 17:39:05,oczekująca,2025-12-18
6,978-1-82996-291-5,109,3,2025-12-11 17:39:03,oczekująca,2025-12-18
7,978-1-4015-5778-2,107,1,2025-12-11 17:39:29,zrealizowana,2025-12-18
8,978-0-00-996881-5,31,3,2025-12-11 17:39:52,oczekująca,2025-12-18
9,978-0-10-822078-4,117,2,2025-12-11 17:39:41,oczekująca,2025-12-18
10,978-0-8091-9015-7,122,2,2025-12-11 17:39:18,oczekująca,2025-12-18
11,978-1-73037-183-7,23,2,2025-12-11 17:39:22,zrealizowana,2025-12-18
12,978-1-263-01367-9,178,5,2025-12-11 17:39:12,zrealizowana,2025-12-18
13,978-0-633-56939-6,6,5,2025-12-11 17:39:59,zrealizowana,2025-12-18
14,978-0-14-986430-5,188,2,2025-12-11 17:39:56,oczekująca,2025-12-18
15,978-1-5126-9448-2,102,4,2025-12-11 17:39:04,oczekująca,2025-12-18
16,978-0-397-55231-3,128,4,2025-12-11 17:39:47,zrealizowana,2025-12-18
17,978-0-9918081-2-0,45,1,2025-12-11 17:39:23,anulowana,2025-12-18
18,978-1-930848-87-0,169,1,2025-12-11 17:39:46,zrealizowana,2025-12-18
19,978-0-7116-2411-5,185,4,2025-12-11 17:39:04,oczekująca,2025-12-18
20,978-0-652-73543-7,7,3,2025-12-11 17:39:03,oczekująca,2025-12-18
21,978-0-09-109391-4,177,4,2025-12-11 17:39:38,oczekująca,2025-12-18
22,978-1-930848-87-0,145,4,2025-12-11 17:39:59,anulowana,2025-12-18
23,978-0-17-912868-2,60,1,2025-12-11 17:39:37,zrealizowana,2025-12-18
24,978-1-57724-295-6,23,5,2025-12-11 17:39:06,zrealizowana,2025-12-18
25,978-1-68118-071-7,121,5,2025-12-11 17:39:05,oczekująca,2025-12-18
26,978-1-65280-924-1,169,3,2025-12-11 17:39:39,anulowana,2025-12-18
27,978-1-932302-34-9,139,2,2025-12-11 17:39:41,zrealizowana,2025-12-18
28,978-1-896908-35-9,105,2,2025-12-11 17:39:47,anulowana,2025-12-18
29,978-1-933496-05-4,96,4,2025-12-11 17:39:30,zrealizowana,2025-12-18
30,978-1-4749-2975-2,38,4,2025-12-11 17:39:08,anulowana,2025-12-18
31,978-0-230-08576-3,105,3,2025-12-11 17:39:21,zrealizowana,2025-12-18
32,978-0-7636-5564-8,155,3,2025-12-11 17:39:33,oczekująca,2025-12-18
33,978-1-67197-889-8,92,4,2025-12-11 17:39:02,zrealizowana,2025-12-18
34,978-1-9828-2467-9,175,2,2025-12-11 17:39:33,oczekująca,2025-12-18
35,978-0-496-39191-2,130,2,2025-12-11 17:39:52,anulowana,2025-12-18
36,978-0-357-85294-1,139,2,2025-12-11 17:39:24,anulowana,2025-12-18
37,978-0-06-799813-7,53,4,2025-12-11 17:39:41,oczekująca,2025-12-18
38,978-0-606-02908-7,29,5,2025-12-11 17:39:08,anulowana,2025-12-18
39,978-1-81291-428-0,134,1,2025-12-11 17:39:06,anulowana,2025-12-18
