id_wejscia,id_osoby,id_filii,data_wejscia
1,60,3,2025-12-11 17:39:10
2,152,2,2025-12-11 17:39:01
3,116,3,2025-12-11 17:37:32
4,77,1,2025-12-11 17:37:53
5,59,5,2025-12-11 17:37:04
6,66,4,2025-12-11 17:37:27
7,68,1,2025-12-11 17:38:44
8,136,2,2025-12-11 17:37:24
9,11,2,2025-12-11 17:39:23
10,116,2,2025-12-11 17:39:14
11,102,1,2025-12-11 17:37:07
12,111,1,2025-12-11 17:38:20
13,20,3,2025-12-11 17:37:18
14,138,5,2025-12-11 17:37:27
15,107,1,2025-12-11 17:40:00
16,129,3,2025-12-11 17:37:47
17,197,5,2025-12-11 17:37:17
18,170,1,2025-12-11 17:39:50
19,128,5,2025-12-11 17:37:34
20,55,5,2025-12-11 17:38:39
21,170,5,2025-12-11 17:37:32
22,74,1,2025-12-11 17:37:13
23,61,4,2025-12-11 17:39:32
24,144,3,2025-12-11 17:39:52
25,46,5,2025-12-11 17:39:59
26,168,2,2025-12-11 17:39:44
27,4,4,2025-12-11 17:37:02
28,21,3,2025-12-11 17:38:49
29,166,2,2025-12-11 17:39:57
30,123,1,2025-12-11 17:37:31
31,26,2,2025-12-11 17:37:13
32,192,3,2025-12-11 17:37:36
33,44,3,2025-12-11 17:39:27
34,172,3,2025-12-11 17:38:40
35,107,2,2025-12-11 17:39:01
36,110,2,2025-12-11 17:38:09
37,187,2,2025-12-11 17:38:48
38,93,1,2025-12-11 17:40:01
39,196,3,2025-12-11 17:39:33
40,80,5,2025-12-11 17:39:01
41,178,5,2025-12-11 17:38:53
42,164,1,2025-12-11 17:39:11
43,20,2,2025-12-11 17:37:07
44,32,1,2025-12-11 17:37:50
45,62,1,2025-12-11 17:38:13
46,200,3,2025-12-11 17:39:27
47,46,1,2025-12-11 17:37:50
48,196,4,2025-12-11 17:37:27
49,87,1,2025-12-11 17:38:52
50,129,5,2025-12-11 17:38:00
51,120,5,2025-12-11 17:39:33
52,32,4,2025-12-11 17:37:56
53,172,5,2025-12-11 17:39:59
54,72,1,2025-12-11 17:38:18
55,92,1,2025-12-11 17:39:20
56,91,2,2025-12-11 17:38:01
57,100,2,2025-12-11 17:38:34
58,140,3,2025-12-11 17:38:33
59,186,1,2025-12-11 17:38:54
60,159,1,2025-12-11 17:38:20
61,17,2,2025-12-11 17:39:28
62,38,3,2025-12-11 17:37:08
63,42,5,2025-12-11 17:39:19
64,177,5,2025-12-11 17:38:28
65,50,4,2025-12-11 17:38:53
66,194,3,2025-12-11 17:38:17
67,8,3,2025-12-11 17:39:05
68,100,4,2025-12-11 17:37:22
69,27,5,2025-12-11 17:39:06
70,199,4,2025-12-11 17:38:54
71,55,2,2025-12-11 17:37:28
72,49,5,2025-12-11 17:38:22
73,164,4,2025-12-11 17:38:26
