id_wypozyczenia,data_zwrotu
1,2025-01-02
2,2024-05-01
3,2024-10-05
4,2025-09-24
5,2025-03-04
6,2025-06-18
7,2024-04-17
8,2024-01-31
9,2025-05-06
10,2025-05-22
12,2025-12-11
15,2025-06-16
16,2025-02-05
17,2025-02-02
18,2025-10-28
19,2024-03-18
20,2025-05-04
21,2024-08-03
22,2024-07-21
23,2025-02-09
24,2025-06-02
25,2025-08-18
26,2024-02-27
27,2025-03-01
28,2024-02-20
29,2024-08-09
30,2025-06-11
31,2024-08-19
32,2025-08-18
33,2024-05-10
35,2024-12-07
36,2025-09-01
37,2025-01-08
38,2025-02-25
39,2024-02-20
40,2024-10-21
41,2024-06-28
42,2025-11-17
43,2024-09-01
44,2025-05-19
45,2025-12-02
46,2025-07-24
47,2024-02-06
48,2025-04-12
49,2025-09-21
50,2024-09-13
51,2024-03-17
52,2025-05-26
53,2025-04-13
54,2024-07-19
55,2025-04-05
56,2025-07-28
57,2024-11-08
58,2024-03-05
59,2024-11-11
60,2025-03-23
61,2024-11-28
62,2025-07-25
63,2024-06-12
64,2024-10-09
65,2025-05-20
66,2025-04-22
67,2025-05-21
68,2024-11-08
69,2024-11-28
70,2025-08-21
71,2025-05-14
72,2024-03-15
73,2024-02-29
74,2024-03-10
75,2025-11-05
76,2024-06-26
78,2025-04-18
79,2025-10-23
81,2025-04-22
83,2025-12-11
84,2024-10-10
85,2025-04-03
86,2024-11-13
87,2024-07-04
88,2025-03-29
89,2025-06-30
90,2025-06-28
91,2025-09-07
92,2024-03-07
94,2024-08-31
95,2024-04-05
97,2024-08-22
98,2025-09-21
99,2024-08-22
100,2024-04-13
101,2025-12-11
102,2024-12-22
103,2024-03-01
104,2024-11-26
105,2024-12-27
106,2025-06-17
107,2025-06-25
108,2025-07-12
109,2024-04-22
110,2024-06-07
111,2025-10-29
112,2024-02-09
113,2024-11-22
114,2024-07-25
115,2024-11-04
116,2024-09-14
117,2025-03-28
118,2024-10-19
119,2024-07-17
120,2025-04-30
122,2025-01-12
123,2024-03-28
124,2025-06-03
125,2025-11-10
127,2025-10-03
128,2025-11-06
130,2024-02-29
131,2024-08-25
132,2025-09-02
133,2025-03-19
134,2025-09-15
135,2024-02-23
136,2025-03-14
137,2025-04-17
139,2024-01-09
140,2024-09-18
141,2025-11-04
143,2025-01-10
144,2025-12-07
145,2024-08-04
146,2025-11-10
147,2025-07-31
148,2025-05-07
149,2025-03-26
150,2025-08-23
151,2025-08-24
153,2024-11-12
154,2025-03-27
155,2025-08-02
156,2024-08-08
157,2025-10-09
158,2025-07-26
159,2025-11-28
160,2024-03-23
162,2024-09-11
163,2025-09-27
164,2025-04-07
165,2024-08-18
166,2025-03-09
167,2025-01-11
168,2024-02-26
169,2025-11-11
170,2024-08-06
171,2025-03-02
172,2025-05-18
173,2025-05-28
174,2025-09-09
175,2024-05-30
176,2024-12-22
177,2025-04-23
178,2025-06-26
179,2024-07-30
180,2024-09-22
181,2025-07-13
182,2024-08-21
183,2025-10-04
184,2025-11-18
185,2025-11-04
186,2024-07-26
187,2025-07-14
188,2024-08-02
189,2024-09-29
190,2025-09-18
192,2025-03-10
193,2025-12-11
194,2025-09-10
195,2025-12-11
196,2025-10-12
197,2025-05-02
198,2024-02-05
199,2024-10-02
200,2025-11-16
201,2025-07-29
202,2024-12-19
204,2025-10-20
205,2024-07-02
206,2025-05-23
207,2024-04-09
208,2024-05-25
209,2025-04-22
210,2025-08-13
211,2025-05-28
212,2024-10-22
213,2024-05-27
214,2024-11-05
215,2024-04-12
216,2025-08-21
217,2024-08-06
218,2025-08-06
219,2024-11-15
220,2025-09-15
221,2025-07-30
222,2025-01-13
223,2025-06-09
224,2025-03-30
225,2024-06-25
226,2025-10-31
227,2024-09-03
228,2024-11-14
229,2025-07-31
230,2025-06-28
231,2024-12-29
232,2025-01-06
233,2024-08-18
234,2025-01-22
235,2024-07-08
236,2024-02-16
237,2024-10-23
238,2024-05-08
239,2024-05-07
240,2025-03-12
243,2024-11-16
244,2024-06-30
245,2025-11-08
247,2025-06-14
248,2025-04-01
249,2024-12-23
250,2024-07-01
251,2025-11-26
252,2024-05-03
253,2025-01-24
254,2024-07-16
255,2024-06-25
256,2025-09-06
258,2024-07-24
259,2025-11-17
260,2025-05-05
261,2025-10-15
262,2024-10-17
263,2024-12-21
264,2025-04-04
265,2025-06-08
266,2024-08-01
267,2024-11-28
268,2025-03-20
269,2025-08-20
270,2025-06-06
271,2024-10-30
272,2025-02-05
273,2024-03-01
274,2025-08-17
275,2025-07-24
276,2025-05-17
277,2025-12-11
278,2024-02-22
279,2025-09-17
280,2024-04-22
281,2024-09-21
282,2025-07-29
283,2024-02-04
284,2025-11-03
285,2025-08-09
286,2024-08-28
287,2024-08-12
289,2024-04-10
290,2025-12-08
291,2025-01-10
292,2024-05-18
293,2025-05-01
294,2024-05-26
295,2024-07-12
296,2025-08-26
297,2024-10-10
298,2024-12-28
299,2024-07-16
300,2024-05-19
302,2024-07-30
303,2024-07-30
304,2025-10-13
305,2024-06-18
306,2024-07-31
307,2024-12-04
309,2024-04-06
310,2025-09-30
312,2024-06-08
313,2024-01-31
314,2025-12-11
315,2024-09-14
316,2025-02-22
317,2024-09-02
318,2025-05-05
319,2024-04-16
320,2025-11-01
321,2024-03-25
322,2024-08-06
323,2025-06-01
324,2025-03-26
325,2025-01-10
326,2024-02-03
327,2024-11-16
328,2025-02-17
329,2024-06-02
330,2025-04-04
331,2025-05-12
332,2024-12-31
333,2025-09-06
334,2024-04-15
335,2025-10-10
336,2025-06-03
337,2025-06-19
338,2025-02-22
339,2025-01-11
340,2024-03-01
341,2024-05-26
343,2024-11-04
344,2024-11-21
345,2024-09-16
346,2025-10-21
347,2025-07-21
349,2025-12-11
350,2025-08-25
351,2024-08-17
352,2025-11-27
353,2024-04-19
354,2025-07-04
355,2025-12-06
357,2025-01-12
358,2024-12-26
360,2025-04-04
361,2025-07-03
362,2024-03-26
363,2025-01-21
364,2024-03-13
365,2024-01-19
366,2025-09-23
367,2025-06-13
369,2024-12-02
370,2024-02-08
371,2025-04-14
372,2025-05-06
374,2025-02-07
375,2024-10-04
376,2024-08-17
377,2024-08-17
378,2025-06-24
380,2024-10-09
381,2025-11-11
382,2025-04-22
383,2025-08-23
384,2024-07-22
385,2024-08-23
386,2024-11-27
387,2025-07-18
389,2025-02-13
