id_kary,id_osoby,id_rodzaju_kary,id_wypozyczenia,kwota,data_nalozenia,data_oplacenia,status
1,3552,1,1,7.0,2024-11-25,,aktywna
2,846,1,2,4.5,2024-01-26,,aktywna
3,1523,1,3,1.5,2025-12-11,,aktywna
4,2544,1,6,1.5,2025-11-12,,aktywna
5,605,1,13,3.0,2025-01-09,2025-01-09,aktywna
6,7182,1,17,7.5,2025-07-15,2025-07-15,aktywna
7,7940,1,19,5.5,2024-05-07,,aktywna
8,2626,1,22,7.5,2024-06-22,2024-06-22,aktywna
9,7530,1,23,3.0,2024-10-31,,aktywna
10,6550,1,25,5.0,2025-10-16,2025-10-16,aktywna
11,8627,1,30,2.0,2024-12-20,2024-12-20,aktywna
12,8978,1,31,0.5,2025-07-26,2025-07-26,aktywna
13,6490,1,33,1.0,2025-01-27,,aktywna
14,9065,1,34,6.5,2024-09-15,2024-09-15,aktywna
15,9939,1,35,1.0,2025-04-29,2025-04-29,aktywna
16,3919,1,36,4.0,2025-01-05,,aktywna
17,3965,1,37,4.0,2024-08-03,,aktywna
18,4066,1,39,6.5,2025-10-24,2025-10-24,aktywna
19,1732,1,40,5.0,2025-04-02,,aktywna
20,1344,1,42,2.0,2024-08-07,2024-08-07,aktywna
21,3708,1,44,6.5,2024-05-01,2024-05-01,aktywna
22,3036,1,45,0.5,2024-01-14,,aktywna
23,7457,1,46,5.0,2025-09-15,2025-09-15,aktywna
24,109,1,49,3.0,2025-11-24,2025-11-24,aktywna
25,884,1,54,3.0,2024-01-20,,aktywna
26,7657,1,58,1.5,2025-06-16,2025-06-16,aktywna
27,4077,1,65,4.5,2025-09-11,,aktywna
28,7208,1,67,7.5,2025-03-14,,aktywna
29,413,1,69,1.5,2025-12-11,2025-12-11,aktywna
30,3805,1,72,2.0,2025-05-09,2025-05-09,aktywna
31,451,1,76,0.5,2024-12-14,,aktywna
32,8953,1,77,4.0,2024-10-11,,aktywna
33,7851,1,79,4.5,2024-08-21,2024-08-21,aktywna
34,8995,1,80,5.0,2024-07-09,,aktywna
35,2911,1,83,1.5,2024-01-31,2024-01-31,aktywna
36,9100,1,84,2.0,2025-02-13,,aktywna
37,2666,1,85,6.0,2024-06-28,2024-06-28,aktywna
38,5019,1,89,4.0,2024-10-07,2024-10-07,aktywna
39,1457,1,92,0.5,2024-12-17,2024-12-17,aktywna
40,8889,1,96,3.0,2025-08-24,,aktywna
41,613,1,98,5.0,2025-01-21,2025-01-21,aktywna
42,3972,1,101,6.0,2024-11-30,2024-11-30,aktywna
43,1080,1,103,5.5,2024-12-07,2024-12-07,aktywna
44,3160,1,107,5.5,2024-04-02,,aktywna
45,9407,1,109,1.5,2025-06-01,2025-06-01,aktywna
46,4297,1,113,5.0,2025-01-28,,aktywna
47,9283,1,114,7.0,2025-01-25,,aktywna
48,8832,1,116,2.0,2024-08-01,2024-08-01,aktywna
49,3260,1,118,1.5,2025-04-19,,aktywna
50,6993,1,121,4.5,2025-04-02,,aktywna
51,6908,1,122,7.0,2025-03-20,,aktywna
52,2851,1,123,2.0,2024-06-30,,aktywna
53,4881,1,128,6.5,2025-10-27,,aktywna
54,6294,1,132,6.5,2025-10-11,,aktywna
55,7017,1,138,0.5,2025-03-25,,aktywna
56,9570,1,148,2.5,2025-05-09,2025-05-09,aktywna
57,2367,1,150,4.5,2024-09-14,2024-09-14,aktywna
58,769,1,152,5.0,2025-03-27,,aktywna
59,7907,1,153,5.5,2024-11-09,,aktywna
60,7756,1,158,7.0,2025-10-02,2025-10-02,aktywna
61,4198,1,160,3.5,2024-04-09,2024-04-09,aktywna
62,6510,1,161,5.0,2024-10-24,,aktywna
63,5862,1,162,3.5,2025-08-21,2025-08-21,aktywna
64,1054,1,164,0.5,2024-04-11,2024-04-11,aktywna
65,8990,1,165,4.0,2025-04-09,,aktywna
66,9090,1,169,1.0,2024-04-17,2024-04-17,aktywna
67,8792,1,172,3.0,2024-01-29,,aktywna
68,7080,1,175,4.5,2024-12-12,2024-12-12,aktywna
69,1635,1,180,7.5,2024-11-17,2024-11-17,aktywna
70,6469,1,181,3.5,2024-03-22,,aktywna
71,7814,1,182,7.5,2025-09-05,,aktywna
72,1622,1,186,0.5,2025-06-02,2025-06-02,aktywna
73,8732,1,188,4.0,2024-03-25,,aktywna
74,7202,1,191,6.0,2025-07-15,,aktywna
75,2225,1,194,4.0,2024-10-12,2024-10-12,aktywna
76,9289,1,195,2.5,2025-12-03,2025-12-03,aktywna
77,5022,1,196,7.5,2024-02-13,2024-02-13,aktywna
78,127,1,199,7.5,2025-04-26,2025-04-26,aktywna
79,1489,1,204,7.0,2025-08-01,2025-08-01,aktywna
80,7375,1,209,7.5,2025-06-16,2025-06-16,aktywna
81,6256,1,210,6.5,2025-07-11,,aktywna
82,1341,1,211,7.0,2025-09-06,2025-09-06,aktywna
83,3845,1,212,3.0,2025-08-21,,aktywna
84,9135,1,218,6.0,2025-09-13,2025-09-13,aktywna
85,4768,1,221,7.0,2024-11-10,,aktywna
86,1310,1,222,3.0,2024-06-22,2024-06-22,aktywna
87,3494,1,230,5.0,2024-09-11,2024-09-11,aktywna
88,8273,1,232,6.5,2025-11-16,,aktywna
89,8107,1,234,6.5,2025-08-03,,aktywna
90,3956,1,236,3.5,2025-03-11,,aktywna
91,7664,1,238,5.5,2025-07-11,2025-07-11,aktywna
92,6618,1,244,4.0,2025-03-25,2025-03-25,aktywna
93,880,1,246,6.5,2024-07-16,2024-07-16,aktywna
94,4622,1,249,5.0,2025-08-11,2025-08-11,aktywna
95,6095,1,251,5.5,2024-06-02,2024-06-02,aktywna
96,1140,1,253,4.0,2024-08-19,2024-08-19,aktywna
97,332,1,254,6.5,2025-06-30,,aktywna
98,7683,1,256,7.0,2025-03-18,,aktywna
99,8203,1,260,6.5,2025-04-22,,aktywna
