id_kategorii,nazwa_kategorii
1,Powieść
2,Kryminał
3,Fantastyka
4,Nauka
5,Biografia
6,Historia
7,Horror
8,Romans
9,Kategoria Obserwować 9
10,Kategoria Wejście 10
11,Kategoria Ciągle 11
12,Kategoria Muzyk 12
13,Kategoria Wnętrze 13
14,Kategoria Zaburzenie 14
15,Kategoria Przedmiot 15
16,Kategoria Żółty 16
17,Kategoria Czechy 17
18,Kategoria Gospodarczy 18
19,Kategoria Światło 19
20,Kategoria By 20
21,Kategoria Komputerowy 21
22,Kategoria Powszechny 22
23,Kategoria Pijany 23
24,Kategoria Rano 24
25,Kategoria Urodzenie 25
26,Kategoria Spodnie 26
27,Kategoria Zdolny 27
28,Kategoria Szczęśliwy 28
29,Kategoria Miejski 29
30,Kategoria Uderzenie 30
31,Kategoria Strata 31
32,Kategoria Doświadczenie 32
33,Kategoria Pusty 33
34,Kategoria Brzydki 34
35,Kategoria Uciec 35
36,Kategoria Posługiwać się 36
37,Kategoria Widzieć 37
38,Kategoria Czas 38
39,Kategoria Wschód 39
40,Kategoria Odzież 40
41,Kategoria Literacki 41
42,Kategoria Dno 42
43,Kategoria Trzeci 43
44,Kategoria Zupełnie 44
45,Kategoria Broda 45
46,Kategoria Szczęśliwy 46
47,Kategoria Wyraz 47
48,Kategoria Hałas 48
49,Kategoria Tytoń 49
50,Kategoria Sylaba 50
