id_ksiazki,nr_isbn,numer_inwentarzowy,tytul,autor,id_kategorii,id_filii,rok_wydania,numer_edycji,liczba_stron,dostepna_online,opis,status
1,978-1-80197-715-9,100001,Spadać atak wódka,Szymon Dąbroś,18,5,2004,1,222,False,Opis książki...,dostępny
2,978-1-380-43325-1,100002,? plemię w formie król,Kalina Mizgała,50,3,1980,1,867,False,Opis książki...,dostępny
3,978-0-9575359-3-0,100003,Kamień październik lista,pan Aleks Gajowiak,5,9,1994,1,521,False,Opis książki...,dostępny
4,978-0-15-160976-5,100004,Udać Się śnieg stół zaś poza,Mikołaj Matynia,45,4,2024,1,226,False,Opis książki...,dostępny
5,978-0-06-631327-6,100005,Gdzieś te Ukraina ziarno,Przemysław Świerkosz,12,1,2011,1,570,False,Opis książki...,dostępny
6,978-1-5192-7468-7,100006,Istota artysta bar,Stanisław Wojtyna,31,4,1983,1,188,False,Opis książki...,dostępny
7,978-1-63781-143-6,100007,Obszar elektryczny pochodzenie,Tadeusz Sadza,46,4,2023,1,604,False,Opis książki...,dostępny
8,978-0-8127-0212-5,100008,Połączyć powolny pomieszczenie,Gaja Lampart,11,6,2010,1,296,False,Opis książki...,dostępny
9,978-1-9789-4528-9,100009,Półwysep sieć,Kornelia Mitera,19,6,1977,1,696,False,Opis książki...,dostępny
10,978-0-252-78660-0,100010,Umieścić swój,Robert Tymczyszyn,24,8,1996,1,628,False,Opis książki...,dostępny
11,978-0-429-45111-9,100011,Zupełnie niezwykły styl rejon,Eliza Wożniak,9,1,1978,1,153,False,Opis książki...,dostępny
12,978-1-188-41101-7,100012,Powiedzieć umowa charakterystyczny potrzeba,Arkadiusz Tonder,41,4,1988,1,283,False,Opis książki...,dostępny
13,978-1-62999-781-0,100013,Należeć gniew mieć właściwy stacja,pan Iwo Tasarz,22,7,1973,1,408,False,Opis książki...,dostępny
14,978-0-05-615254-0,100014,Procent może wytwarzać przeciwny,Eliza Skupin,39,4,2005,1,561,False,Opis książki...,dostępny
15,978-1-166-79817-8,100015,Wspólnota świnia posiadać,Stanisław Moj,18,2,2014,1,401,False,Opis książki...,dostępny
16,978-0-9966704-9-4,100016,Czarny umysł spadek powstać oko,pani Anna Maria Wołoszyk,3,3,1979,1,161,False,Opis książki...,dostępny
17,978-0-587-26259-6,100017,Przyjaciel trochę dolina,Róża Zacharewicz,26,3,1988,1,493,False,Opis książki...,dostępny
18,978-0-671-25052-2,100018,Dostęp robić chłopak zamiast elektryczny,Marika Duszczyk,40,4,2003,1,311,False,Opis książki...,dostępny
19,978-0-7075-4560-8,100019,Wewnętrzny przedmiot kościół bić słowo,Klara Kołton,25,5,2005,1,794,False,Opis książki...,dostępny
20,978-1-361-55543-9,100020,Koza smutny być sprzedawać,Dominik Sankiewicz,47,9,2017,1,191,False,Opis książki...,dostępny
21,978-0-13-628708-7,100021,Zbudować żywy wywoływać ząb,Fryderyk Kuryś,41,2,1994,1,542,False,Opis książki...,dostępny
22,978-0-214-42548-6,100022,Burza kształt gałąź budowa teoria,Eliza Labocha,28,1,1970,1,842,False,Opis książki...,dostępny
23,978-0-604-63875-5,100023,Starożytny łyżka kraina azjatycki dusza,Krystyna Fiedorczuk,13,10,2012,1,903,False,Opis książki...,dostępny
24,978-0-674-50911-5,100024,I minuskuła słońce pragnąć liczny,pani Karina Sypień,22,7,2025,1,188,False,Opis książki...,dostępny
25,978-0-89812-254-1,100025,Wieczór złoto scena jednak,Przemysław Łaciak,33,1,1990,1,949,False,Opis książki...,dostępny
26,978-0-275-02929-6,100026,Rozwiązanie kolejowy słownik wyłącznie,pani Gaja Ornat,15,9,1996,1,197,False,Opis książki...,dostępny
27,978-1-4779-7900-6,100027,Koń krzesło tytoń kobieta porządek,pani Blanka Wielądek,11,2,2021,1,996,False,Opis książki...,dostępny
28,978-1-932549-20-1,100028,Oglądać planeta zapach,Tymoteusz Orpel,44,5,1972,1,853,False,Opis książki...,dostępny
29,978-0-14-084331-6,100029,Radio doprowadzić szczęście,Tola Krzystek,26,2,1998,1,393,False,Opis książki...,dostępny
30,978-0-251-80106-9,100030,Minuta niebieski,Julita Kałwak,3,2,1984,1,803,False,Opis książki...,dostępny
31,978-0-483-27092-3,100031,Zysk te lubić dwudziesty,Melania Malecha,22,10,2018,1,403,False,Opis książki...,dostępny
32,978-0-583-09374-3,100032,Opinia robić ósmy,pan Albert Matyjasek,48,9,1978,1,519,False,Opis książki...,dostępny
33,978-1-292-13006-4,100033,Dzielnica krzesło mąka skała jezioro,pani Anastazja Szyda,37,4,2000,1,684,False,Opis książki...,dostępny
34,978-0-00-451586-1,100034,Stado tam prostytutka,Nela Jachna,17,6,2010,1,419,False,Opis książki...,dostępny
35,978-1-345-71952-9,100035,Izrael wydawać tracić szkodliwy ciągnąć,pani Anna Maria Parzonka,19,9,2008,1,807,False,Opis książki...,dostępny
36,978-0-9885758-4-4,100036,Wszyscy płakać kanał,Bartek Grębowiec,8,2,2003,1,300,False,Opis książki...,dostępny
