id_rezerwacji,nr_isbn,id_osoby,id_filii,data_rezerwacji,status,wygasa_dnia
1,978-1-288-24934-3,8802,10,2025-09-11 13:34:44,oczekująca,2025-12-14
2,978-0-9575359-3-0,1295,4,2025-10-17 12:43:04,oczekująca,2025-12-14
3,978-0-09-038917-9,1862,3,2025-08-23 15:38:59,oczekująca,2025-12-19
4,978-1-83999-540-8,2004,1,2025-02-16 21:04:20,oczekująca,2025-12-13
5,978-1-265-64924-1,5280,8,2025-06-19 23:09:57,oczekująca,2025-12-15
6,978-0-936455-19-8,6030,2,2025-05-09 14:26:55,oczekująca,2025-12-12
7,978-1-232-51548-7,5715,6,2025-11-01 19:32:07,oczekująca,2025-12-16
8,978-1-233-05255-4,8167,9,2025-08-09 05:15:17,oczekująca,2025-12-20
9,978-0-612-49749-8,843,7,2025-01-20 22:13:04,oczekująca,2025-12-20
10,978-0-9845251-3-3,2340,10,2025-02-20 22:26:23,oczekująca,2025-12-20
11,978-0-11-354812-5,7113,6,2025-03-08 07:58:36,oczekująca,2025-12-14
12,978-0-533-29752-8,7807,5,2025-02-24 09:40:41,oczekująca,2025-12-14
13,978-0-8101-1431-9,204,7,2025-02-23 00:33:35,oczekująca,2025-12-16
14,978-1-307-44470-4,9270,5,2025-10-04 18:27:46,oczekująca,2025-12-13
15,978-1-59839-533-4,6288,2,2025-02-07 01:22:31,oczekująca,2025-12-18
16,978-0-02-195549-7,8874,6,2025-05-22 03:11:38,oczekująca,2025-12-15
17,978-0-8384-7583-6,7640,4,2025-12-03 07:02:11,oczekująca,2025-12-15
18,978-1-901049-14-5,8018,2,2025-11-17 21:07:09,oczekująca,2025-12-15
19,978-0-7661-8113-7,4673,6,2025-02-28 21:49:49,oczekująca,2025-12-14
20,978-0-568-35617-7,9732,2,2025-11-25 14:41:02,oczekująca,2025-12-15
21,978-1-77487-035-8,8299,7,2025-09-03 06:33:07,oczekująca,2025-12-20
22,978-1-969391-09-5,5763,4,2025-06-16 14:27:09,oczekująca,2025-12-13
23,978-1-66349-671-3,5359,4,2025-08-10 18:53:58,oczekująca,2025-12-14
24,978-0-689-93493-3,4562,7,2025-12-06 03:31:49,oczekująca,2025-12-13
25,978-0-508-66531-4,2553,2,2025-01-12 07:18:09,oczekująca,2025-12-18
26,978-1-60353-087-3,6316,10,2025-11-26 15:22:59,oczekująca,2025-12-18
27,978-1-4502-0987-8,5535,8,2025-03-23 16:40:49,oczekująca,2025-12-13
28,978-1-321-89062-4,3843,1,2025-11-13 09:41:33,oczekująca,2025-12-12
29,978-0-7952-4596-1,8217,3,2025-01-11 05:39:49,oczekująca,2025-12-18
30,978-1-228-95763-5,2703,8,2025-01-06 05:34:00,oczekująca,2025-12-13
31,978-1-65993-790-9,3547,9,2025-07-07 18:48:11,oczekująca,2025-12-16
32,978-0-329-11002-4,1468,3,2025-03-22 11:39:47,oczekująca,2025-12-16
33,978-0-659-01799-4,9835,10,2025-06-24 19:19:47,oczekująca,2025-12-15
34,978-1-936344-87-1,6474,6,2025-01-14 02:03:26,oczekująca,2025-12-14
35,978-0-18-976193-0,7739,6,2025-04-26 23:12:46,oczekująca,2025-12-14
36,978-0-255-90689-0,7596,8,2025-04-07 18:47:29,oczekująca,2025-12-17
37,978-0-7682-3128-1,5865,5,2025-02-18 02:47:43,oczekująca,2025-12-12
38,978-1-03-587269-5,7850,10,2025-05-29 05:29:52,oczekująca,2025-12-16
39,978-1-5388-3415-2,4304,9,2025-09-03 17:45:06,oczekująca,2025-12-20
40,978-1-275-40755-8,4583,6,2025-12-08 09:22:02,oczekująca,2025-12-14
41,978-0-7514-9007-7,7853,5,2025-03-10 23:30:21,oczekująca,2025-12-16
42,978-0-605-83772-0,5762,10,2025-07-02 09:29:26,oczekująca,2025-12-13
43,978-0-08-739962-4,2700,8,2025-05-18 11:43:34,oczekująca,2025-12-14
44,978-1-61114-511-3,2508,8,2025-04-20 00:28:44,oczekująca,2025-12-12
45,978-1-83303-741-8,2227,8,2025-01-25 23:02:50,oczekująca,2025-12-12
46,978-0-300-73872-8,4024,1,2025-01-07 13:08:32,oczekująca,2025-12-13
47,978-1-954959-48-4,512,6,2025-04-18 16:25:23,oczekująca,2025-12-18
48,978-0-08-966934-3,2195,9,2025-05-27 22:49:15,oczekująca,2025-12-18
49,978-1-69230-777-6,4671,2,2025-08-03 23:47:25,oczekująca,2025-12-17
50,978-0-386-63447-1,2262,8,2025-01-19 18:41:16,oczekująca,2025-12-16
