id_wypozyczenia,data_zwrotu
1,2024-11-25
2,2024-01-26
3,2025-12-11
4,2024-12-19
5,2024-11-08
6,2025-11-12
7,2024-01-06
8,2024-11-30
9,2025-11-17
10,2024-08-10
11,2024-02-23
12,2024-07-02
13,2025-01-09
14,2025-03-09
15,2024-03-21
16,2024-07-23
17,2025-07-15
18,2024-01-15
19,2024-05-07
20,2025-03-20
21,2024-05-21
22,2024-06-22
23,2024-10-31
24,2024-01-03
25,2025-10-16
26,2024-11-11
27,2024-12-16
28,2025-08-12
29,2024-10-23
30,2024-12-20
31,2025-07-26
32,2024-09-19
33,2025-01-27
34,2024-09-15
35,2025-04-29
36,2025-01-05
37,2024-08-03
38,2025-09-23
39,2025-10-24
40,2025-04-02
41,2025-11-02
42,2024-08-07
43,2024-09-13
44,2024-05-01
45,2024-01-14
46,2025-09-15
47,2024-12-13
48,2024-05-19
49,2025-11-24
50,2025-03-24
51,2024-02-25
52,2025-02-24
53,2024-09-21
54,2024-01-20
55,2024-10-01
56,2024-10-26
57,2025-05-23
58,2025-06-16
59,2024-11-28
60,2025-06-08
61,2024-01-24
62,2024-07-17
63,2024-04-10
64,2025-09-08
65,2025-09-11
66,2025-05-07
67,2025-03-14
68,2024-04-18
69,2025-12-11
70,2025-03-26
71,2024-07-11
72,2025-05-09
73,2025-12-11
74,2024-10-17
75,2024-08-21
76,2024-12-14
77,2024-10-11
78,2025-11-16
79,2024-08-21
80,2024-07-09
81,2024-09-26
82,2025-05-28
83,2024-01-31
84,2025-02-13
85,2024-06-28
86,2024-09-15
87,2024-01-25
88,2025-06-14
89,2024-10-07
90,2025-08-25
91,2025-03-31
92,2024-12-17
93,2024-06-16
94,2025-03-09
95,2025-06-17
96,2025-08-24
97,2024-11-13
98,2025-01-21
99,2025-03-04
100,2025-08-15
101,2024-11-30
102,2025-11-02
103,2024-12-07
104,2024-11-18
105,2024-06-30
106,2025-09-19
107,2024-04-02
108,2024-05-05
109,2025-06-01
110,2025-12-10
111,2025-05-09
112,2024-06-25
113,2025-01-28
114,2025-01-25
115,2025-12-11
116,2024-08-01
117,2025-02-23
118,2025-04-19
119,2025-07-07
120,2025-12-11
121,2025-04-02
122,2025-03-20
123,2024-06-30
124,2025-08-28
125,2025-09-27
126,2024-09-27
127,2024-03-27
128,2025-10-27
129,2025-07-20
130,2025-12-01
131,2024-03-04
132,2025-10-11
133,2024-08-01
134,2025-11-30
135,2025-01-02
136,2024-04-02
137,2025-10-16
138,2025-03-25
139,2025-05-22
140,2025-08-23
141,2025-11-05
142,2024-11-13
143,2025-09-04
144,2024-07-27
145,2024-11-06
146,2024-08-10
147,2024-05-21
148,2025-05-09
149,2025-05-26
150,2024-09-14
151,2024-03-17
152,2025-03-27
153,2024-11-09
154,2024-11-15
155,2024-05-18
156,2024-10-19
157,2025-08-04
158,2025-10-02
159,2024-09-22
160,2024-04-09
161,2024-10-24
162,2025-08-21
163,2024-09-04
164,2024-04-11
165,2025-04-09
166,2025-02-13
167,2025-01-05
168,2025-06-18
169,2024-04-17
170,2024-01-12
171,2024-03-10
172,2024-01-29
173,2024-12-27
174,2025-01-29
175,2024-12-12
176,2025-07-20
177,2025-04-11
178,2025-05-24
179,2025-09-25
180,2024-11-17
181,2024-03-22
182,2025-09-05
183,2024-10-19
184,2025-08-02
185,2024-02-02
186,2025-06-02
187,2025-06-18
188,2024-03-25
189,2025-09-15
190,2024-08-23
191,2025-07-15
192,2025-09-21
193,2025-06-10
194,2024-10-12
195,2025-12-03
196,2024-02-13
197,2024-05-31
198,2024-03-22
199,2025-04-26
200,2025-10-22
201,2024-06-26
202,2024-10-07
203,2025-01-18
204,2025-08-01
205,2025-11-22
206,2025-02-28
207,2025-02-26
208,2024-09-21
209,2025-06-16
210,2025-07-11
211,2025-09-06
212,2025-08-21
214,2024-04-15
215,2024-10-20
216,2025-11-19
217,2025-06-27
218,2025-09-13
219,2024-06-12
220,2025-10-12
221,2024-11-10
222,2024-06-22
223,2024-01-17
224,2025-04-27
225,2025-01-07
226,2025-10-23
227,2024-10-20
228,2024-05-10
229,2025-03-20
230,2024-09-11
231,2025-01-23
232,2025-11-16
233,2025-12-11
234,2025-08-03
235,2024-11-20
236,2025-03-11
237,2025-04-12
238,2025-07-11
239,2024-03-18
240,2024-03-23
241,2024-05-13
244,2025-03-25
245,2024-12-25
246,2024-07-16
247,2024-02-15
248,2025-03-21
249,2025-08-11
250,2024-09-04
251,2024-06-02
252,2025-06-23
253,2024-08-19
254,2025-06-30
255,2024-08-22
256,2025-03-18
257,2024-09-08
258,2025-10-25
259,2025-02-02
260,2025-04-22
261,2025-05-15
262,2025-07-23
263,2024-11-09
264,2024-02-29
265,2025-07-27
266,2024-07-01
267,2025-12-11
268,2024-10-21
269,2025-04-28
270,2024-10-11
271,2025-01-05
272,2024-08-29
273,2025-07-13
274,2024-07-19
275,2025-08-26
276,2025-06-29
277,2024-04-13
279,2024-02-17
280,2025-02-17
281,2024-11-20
282,2025-02-23
283,2024-06-21
284,2025-06-08
285,2025-04-04
286,2024-06-15
287,2024-10-24
288,2025-01-21
289,2024-01-16
290,2024-07-21
291,2025-10-30
292,2025-10-27
293,2025-02-07
294,2024-04-09
295,2024-12-29
296,2025-06-24
297,2024-08-17
298,2024-03-15
299,2024-10-26
300,2025-01-19
301,2025-06-27
302,2024-11-04
303,2025-09-02
304,2025-11-21
305,2024-04-08
306,2025-03-05
307,2025-09-24
308,2025-04-14
309,2025-03-27
