id_kary,id_osoby,id_rodzaju_kary,id_wypozyczenia,kwota,data_nalozenia,data_oplacenia,status
1,734,1,1,1.5,2025-02-19,,do zapłaty
2,794,1,3,5.5,2024-07-01,,do zapłaty
3,451,1,6,9.5,2025-06-10,,do zapłaty
4,232,1,8,1.0,2025-11-25,,do zapłaty
5,388,1,9,2.0,2024-07-19,,do zapłaty
6,332,1,10,6.0,2024-05-25,,do zapłaty
7,66,1,13,0.5,2024-11-16,,do zapłaty
8,641,1,16,12.5,2025-06-21,,do zapłaty
9,331,1,19,11.0,2025-06-28,,do zapłaty
10,924,1,20,8.0,2025-03-24,,do zapłaty
11,879,1,22,10.5,2024-06-05,,do zapłaty
12,354,1,24,5.0,2024-04-12,,do zapłaty
13,142,1,25,7.0,2025-05-24,,do zapłaty
14,821,1,27,5.0,2024-04-01,,do zapłaty
15,957,1,37,6.5,2025-03-11,,do zapłaty
16,900,1,43,7.5,2025-10-14,,do zapłaty
17,40,1,44,3.5,2024-11-25,,do zapłaty
18,399,1,46,13.0,2024-05-13,,do zapłaty
19,34,1,48,10.0,2024-07-10,,do zapłaty
20,499,1,50,2.5,2024-06-05,,do zapłaty
21,89,1,53,2.0,2024-12-02,,do zapłaty
22,820,1,54,14.0,2025-08-19,,do zapłaty
23,453,1,57,6.0,2024-10-04,,do zapłaty
24,844,1,59,14.0,2025-08-28,,do zapłaty
25,919,1,60,15.0,2025-06-11,,do zapłaty
26,758,1,65,12.5,2025-03-26,,do zapłaty
27,522,1,68,10.0,2024-06-26,,do zapłaty
28,779,1,69,13.0,2024-09-21,,do zapłaty
29,85,1,71,9.0,2025-12-11,,do zapłaty
30,980,1,76,1.0,2025-05-02,,do zapłaty
31,317,1,77,2.5,2024-12-05,,do zapłaty
32,895,1,78,2.0,2025-05-16,,do zapłaty
33,952,1,83,15.0,2024-09-15,,do zapłaty
34,369,1,84,6.5,2024-07-14,,do zapłaty
35,340,1,89,5.5,2025-01-27,,do zapłaty
36,826,1,90,11.0,2025-01-18,,do zapłaty
37,302,1,95,14.0,2024-12-19,,do zapłaty
38,336,1,96,14.5,2025-08-05,,do zapłaty
39,298,1,97,1.5,2025-02-19,,do zapłaty
40,497,1,98,9.5,2025-10-22,,do zapłaty
41,33,1,99,5.0,2025-01-09,,do zapłaty
42,341,1,100,6.5,2024-07-30,,do zapłaty
43,565,1,101,13.0,2025-01-27,,do zapłaty
44,324,1,102,4.0,2025-11-08,,do zapłaty
45,829,1,104,0.5,2025-10-29,,do zapłaty
46,529,1,105,9.0,2025-01-10,,do zapłaty
47,324,1,109,11.0,2024-11-16,,do zapłaty
48,565,1,111,3.5,2025-10-15,,do zapłaty
49,240,1,115,7.0,2024-06-30,,do zapłaty
50,433,1,122,2.5,2025-03-07,,do zapłaty
51,276,1,128,1.0,2024-08-03,,do zapłaty
52,975,1,129,3.0,2025-10-29,,do zapłaty
53,178,1,133,2.5,2025-11-14,,do zapłaty
54,626,1,135,8.0,2025-10-18,,do zapłaty
55,660,1,137,13.5,2025-07-08,,do zapłaty
56,117,1,141,2.5,2024-04-17,,do zapłaty
57,92,1,144,12.0,2024-07-23,,do zapłaty
58,323,1,145,10.5,2024-12-08,,do zapłaty
59,292,1,147,13.0,2024-03-31,,do zapłaty
60,225,1,149,4.0,2025-12-28,,do zapłaty
61,980,1,153,10.0,2025-06-15,,do zapłaty
62,553,1,156,1.0,2024-08-07,,do zapłaty
63,698,1,158,2.0,2024-07-31,,do zapłaty
64,382,1,159,9.0,2024-03-15,,do zapłaty
65,562,1,160,8.0,2025-05-31,,do zapłaty
66,630,1,161,12.0,2024-08-28,,do zapłaty
67,416,1,162,11.0,2024-04-06,,do zapłaty
68,568,1,163,3.5,2025-03-20,,do zapłaty
69,265,1,164,8.0,2024-08-01,,do zapłaty
70,730,1,166,5.5,2024-12-17,,do zapłaty
71,463,1,171,14.0,2025-01-12,,do zapłaty
72,575,1,175,6.5,2025-08-01,,do zapłaty
73,586,1,182,7.0,2024-11-24,,do zapłaty
74,551,1,183,6.0,2025-01-25,,do zapłaty
75,718,1,184,13.0,2025-12-28,,do zapłaty
76,144,1,186,8.5,2024-06-11,,do zapłaty
77,873,1,187,7.0,2025-06-16,,do zapłaty
