id_ksiazki,nr_isbn,numer_inwentarzowy,tytul,autor,id_kategorii,id_filii,rok_wydania,numer_edycji,liczba_stron,dostepna_online,opis,status
1,9781167966286,8228,Prawdziwy postępowanie okno,Anastazja Soczewka,8,2,1977,Wydanie I,314,False,Koncert bardzo potrafić suma morze. Dialekt podnosić pani rzeczownik model wieża tamten wóz.,dostępny
2,9781698428123,26813,Ulegać dyrektor koza gwałtowny,Kaja Kałwa,3,9,1992,Wydanie I,762,True,Miejscowość utwór mężczyzna wszelki chociaż narząd lód. Fakt zniszczyć hałas no mowa aktywny ślad.,w konserwacji
3,9781718044685,96034,Pisarz prezydent dowód,Marianna Poleszak,2,4,1968,Wydanie I,561,True,Porządek srebro używać wycieczka zawód zniszczyć go.,wypożyczony
4,9780094652866,92556,Używać specjalny międzynarodowy móc,Krystian Serwach,7,10,1967,Wydanie I,696,False,Współczesny biskup opinia futro. Ogromny zimno wiosna wino. Słońce specjalny państwo jednostka.,dostępny
5,9781435262805,9253,Sześćdziesiąt więcej piętro ani po,Marianna Berus,5,8,1998,Wydanie I,285,True,Budowla przypadek alkohol strefa ciemny flaga słoneczny. Trzymać wiek autor król nic 3 chemiczny.,dostępny
6,9781345231809,66717,Chłop moneta dziesięć granica ochrona,Andrzej Stein,10,2,2004,Wydanie I,278,False,Lot strefa klucz robić Polak. Cecha ozdoba międzynarodowy fałszywy lód uciekać.,wypożyczony
7,9781759252018,96547,Węgiel kilometr czyn a własny,Jerzy Pabisiak,5,8,1997,Wydanie I,471,True,"Piasek kolor późny chleb.
Lud jeszcze góra tylko.",wypożyczony
8,9780094652866,61894,Używać specjalny międzynarodowy móc,Krystian Serwach,7,3,1967,Wydanie I,696,False,Współczesny biskup opinia futro. Ogromny zimno wiosna wino. Słońce specjalny państwo jednostka.,w konserwacji
9,9781874227250,98056,Warstwa wina zwykły,Cyprian Kott,2,9,1994,Wydanie I,776,False,Płeć obowiązywać powinien zdolność. Rachunek siostra radio można wysyłać krzew rasa złożony.,wypożyczony
10,9781865407234,85252,Włosy kwiecień most zespół budować,Albert Zarzeczna,5,10,1962,Wydanie I,347,True,Starożytny dobro rzeka plecy otwór patrzeć strój.,wypożyczony
11,9781545385265,30389,Cecha zakończenie pomarańczowy wreszcie ten,pan Marek Hermanowicz,3,8,1981,Wydanie I,155,True,Aż żart powstawać długość ona w typ. Piosenka Niemiec Holandia.,wypożyczony
12,9781426248160,62760,Wiersz poniedziałek skała,pan Tobiasz Michnik,6,4,1953,Wydanie I,314,False,Świadczyć technika lista zmiana temat stworzyć. Swój posiłek drewniany dawny większość powstanie.,wypożyczony
13,9780798423175,92666,Pić czerwony,Borys Getka,9,7,1958,Wydanie I,650,False,Słoneczny zachodni nocny. Pasek los także delikatny przychodzić.,wypożyczony
14,9781874227250,70930,Warstwa wina zwykły,Cyprian Kott,2,5,1994,Wydanie I,776,True,Płeć obowiązywać powinien zdolność. Rachunek siostra radio można wysyłać krzew rasa złożony.,w konserwacji
15,9780690936506,70166,Pomysł 40 temat znany,Julita Drobot,9,2,2016,Wydanie I,505,True,Zwycięstwo biec uznawać powodować. Czapka doskonały jakby.,wypożyczony
16,9780094652866,63974,Używać specjalny międzynarodowy móc,Krystian Serwach,7,7,1967,Wydanie I,696,False,Współczesny biskup opinia futro. Ogromny zimno wiosna wino. Słońce specjalny państwo jednostka.,dostępny
17,9780690936506,16911,Pomysł 40 temat znany,Julita Drobot,9,5,2016,Wydanie I,505,True,Zwycięstwo biec uznawać powodować. Czapka doskonały jakby.,dostępny
