id_rezerwacji,nr_isbn,id_osoby,id_filii,data_rezerwacji,status,wygasa_dnia
1,9780501265870,44,3,2025-12-28 19:14:23,zrealizowana,2025-12-31
2,9781759252018,484,9,2025-12-28 19:13:58,anulowana,2025-12-31
3,9780362591026,647,2,2025-12-28 19:14:35,oczekująca,2025-12-31
4,9781024774184,356,8,2025-12-28 19:14:25,oczekująca,2025-12-31
5,9781024774184,378,6,2025-12-28 19:14:38,zrealizowana,2025-12-31
6,9780668657846,95,1,2025-12-28 19:14:44,anulowana,2025-12-31
7,9780735005464,215,5,2025-12-28 19:14:36,oczekująca,2025-12-31
8,9781874227250,990,8,2025-12-28 19:13:53,oczekująca,2025-12-31
9,9781024774184,669,5,2025-12-28 19:14:50,zrealizowana,2025-12-31
10,9780393892420,541,2,2025-12-28 19:14:36,oczekująca,2025-12-31
11,9781865407234,434,7,2025-12-28 19:14:27,zrealizowana,2025-12-31
12,9780625136742,160,7,2025-12-28 19:13:58,zrealizowana,2025-12-31
13,9781865407234,435,4,2025-12-28 19:14:20,oczekująca,2025-12-31
14,9780743425230,917,3,2025-12-28 19:13:51,anulowana,2025-12-31
15,9780094652866,687,5,2025-12-28 19:14:18,zrealizowana,2025-12-31
16,9781759252018,919,4,2025-12-28 19:14:30,oczekująca,2025-12-31
17,9780428279417,780,3,2025-12-28 19:14:32,zrealizowana,2025-12-31
18,9780582900776,659,8,2025-12-28 19:14:42,anulowana,2025-12-31
19,9780428279417,809,2,2025-12-28 19:13:54,oczekująca,2025-12-31
20,9780362591026,734,4,2025-12-28 19:14:05,zrealizowana,2025-12-31
21,9780466343330,395,6,2025-12-28 19:14:49,oczekująca,2025-12-31
22,9781426248160,153,5,2025-12-28 19:14:03,anulowana,2025-12-31
23,9781024774184,842,3,2025-12-28 19:14:24,zrealizowana,2025-12-31
24,9780690936506,418,3,2025-12-28 19:14:03,anulowana,2025-12-31
25,9781865407234,967,9,2025-12-28 19:14:15,anulowana,2025-12-31
26,9780362591026,299,4,2025-12-28 19:14:24,oczekująca,2025-12-31
27,9781545385265,955,2,2025-12-28 19:14:21,oczekująca,2025-12-31
28,9780888596710,145,9,2025-12-28 19:14:21,anulowana,2025-12-31
29,9780743425230,807,7,2025-12-28 19:14:47,zrealizowana,2025-12-31
30,9781718044685,27,7,2025-12-28 19:14:50,oczekująca,2025-12-31
31,9781545385265,124,5,2025-12-28 19:14:20,anulowana,2025-12-31
32,9781337968874,668,2,2025-12-28 19:14:23,zrealizowana,2025-12-31
33,9781024774184,486,5,2025-12-28 19:14:25,oczekująca,2025-12-31
34,9780414399907,627,2,2025-12-28 19:14:33,zrealizowana,2025-12-31
35,9781024774184,876,7,2025-12-28 19:14:03,anulowana,2025-12-31
36,9781616142964,928,1,2025-12-28 19:14:23,anulowana,2025-12-31
37,9780348977738,973,4,2025-12-28 19:14:24,zrealizowana,2025-12-31
38,9781337968874,369,9,2025-12-28 19:14:16,anulowana,2025-12-31
39,9781759252018,289,1,2025-12-28 19:14:49,anulowana,2025-12-31
40,9780928916836,595,1,2025-12-28 19:14:31,oczekująca,2025-12-31
41,9781337968874,846,8,2025-12-28 19:14:45,zrealizowana,2025-12-31
42,9781874227250,875,7,2025-12-28 19:13:57,oczekująca,2025-12-31
43,9780523118734,967,3,2025-12-28 19:13:54,oczekująca,2025-12-31
44,9781786430304,859,5,2025-12-28 19:14:47,anulowana,2025-12-31
45,9781616142964,522,5,2025-12-28 19:14:25,anulowana,2025-12-31
46,9780735005464,161,3,2025-12-28 19:13:54,zrealizowana,2025-12-31
47,9781138492578,16,3,2025-12-28 19:14:17,oczekująca,2025-12-31
48,9780134362441,247,2,2025-12-28 19:14:32,anulowana,2025-12-31
49,9780523118734,320,1,2025-12-28 19:13:52,zrealizowana,2025-12-31
50,9781385509982,985,3,2025-12-28 19:14:39,oczekująca,2025-12-31
51,9781545385265,393,9,2025-12-28 19:14:39,oczekująca,2025-12-31
52,9781138492578,827,1,2025-12-28 19:14:42,oczekująca,2025-12-31
53,9780027914276,463,2,2025-12-28 19:14:13,oczekująca,2025-12-31
