id_wejscia,id_osoby,id_filii,data_wejscia,data_wyjscia
1,346,9,2025-12-28 19:14:32,2025-12-28 19:33:32
2,118,9,2025-12-28 19:13:35,2025-12-28 21:16:35
3,47,8,2025-12-28 19:14:19,2025-12-28 22:36:19
4,515,2,2025-12-28 19:14:09,2025-12-28 21:53:09
5,900,3,2025-12-28 19:12:31,2025-12-28 21:23:31
6,663,4,2025-12-28 19:12:31,2025-12-28 20:32:31
7,308,9,2025-12-28 19:12:04,2025-12-28 21:49:04
8,46,8,2025-12-28 19:12:30,2025-12-28 21:14:30
9,805,3,2025-12-28 19:14:38,2025-12-28 19:22:38
10,289,1,2025-12-28 19:13:17,2025-12-28 22:27:17
11,730,6,2025-12-28 19:13:51,2025-12-28 22:16:51
12,734,1,2025-12-28 19:12:27,2025-12-28 21:16:27
13,646,3,2025-12-28 19:12:41,2025-12-28 23:01:41
14,769,4,2025-12-28 19:12:58,2025-12-28 20:01:58
15,895,6,2025-12-28 19:13:17,2025-12-28 19:40:17
16,305,9,2025-12-28 19:12:16,2025-12-28 21:19:16
17,257,3,2025-12-28 19:12:24,2025-12-28 22:46:24
18,370,7,2025-12-28 19:14:49,2025-12-28 22:45:49
19,903,10,2025-12-28 19:14:05,2025-12-28 21:16:05
20,842,9,2025-12-28 19:14:31,2025-12-28 19:55:31
21,245,9,2025-12-28 19:13:36,2025-12-28 21:30:36
22,343,7,2025-12-28 19:14:12,2025-12-28 22:10:12
23,210,3,2025-12-28 19:14:01,2025-12-28 21:59:01
24,678,6,2025-12-28 19:14:51,2025-12-28 21:02:51
25,520,3,2025-12-28 19:13:16,2025-12-28 19:27:16
26,856,7,2025-12-28 19:12:52,2025-12-28 22:29:52
27,360,4,2025-12-28 19:13:49,2025-12-28 22:01:49
28,815,9,2025-12-28 19:11:55,2025-12-28 19:30:55
29,979,3,2025-12-28 19:14:40,2025-12-28 21:07:40
30,364,4,2025-12-28 19:11:59,2025-12-28 20:35:59
31,368,6,2025-12-28 19:14:47,2025-12-28 19:40:47
32,491,6,2025-12-28 19:11:56,2025-12-28 21:42:56
33,837,4,2025-12-28 19:12:37,2025-12-28 19:25:37
34,923,5,2025-12-28 19:14:16,2025-12-28 20:16:16
35,96,9,2025-12-28 19:12:21,2025-12-28 21:54:21
36,916,7,2025-12-28 19:12:55,2025-12-28 19:18:55
37,460,10,2025-12-28 19:14:07,2025-12-28 19:23:07
38,820,4,2025-12-28 19:13:15,2025-12-28 21:49:15
39,9,8,2025-12-28 19:14:22,2025-12-28 22:53:22
40,640,6,2025-12-28 19:12:58,2025-12-28 22:18:58
41,55,3,2025-12-28 19:12:15,2025-12-28 21:17:15
42,483,1,2025-12-28 19:12:25,2025-12-28 19:52:25
43,576,7,2025-12-28 19:12:55,2025-12-28 21:13:55
44,654,1,2025-12-28 19:12:34,2025-12-28 21:50:34
