id_wypozyczenia,data_zwrotu
1,2025-02-19
3,2024-07-01
4,2024-12-08
5,2025-07-08
6,2025-06-10
7,2025-02-05
8,2025-11-25
9,2024-07-19
10,2024-05-25
13,2024-11-16
14,2025-02-21
15,2025-07-05
16,2025-06-21
19,2025-06-28
20,2025-03-24
21,2025-02-04
22,2024-06-05
24,2024-04-12
25,2025-05-24
27,2024-04-01
28,2024-11-29
30,2024-10-26
31,2025-12-28
32,2025-02-14
33,2024-03-01
35,2025-12-28
36,2025-11-06
37,2025-03-11
38,2025-03-28
39,2025-03-12
40,2025-01-22
41,2025-07-21
42,2025-10-20
43,2025-10-14
44,2024-11-25
45,2025-11-18
46,2024-05-13
48,2024-07-10
49,2024-06-08
50,2024-06-05
51,2025-09-09
53,2024-12-02
54,2025-08-19
55,2025-04-23
56,2025-05-22
57,2024-10-04
58,2025-01-06
59,2025-08-28
60,2025-06-11
61,2024-12-18
62,2024-08-13
63,2024-12-31
64,2024-05-24
65,2025-03-26
66,2025-01-19
67,2025-12-28
68,2024-06-26
69,2024-09-21
71,2025-12-11
72,2024-09-12
73,2024-03-20
76,2025-05-02
77,2024-12-05
78,2025-05-16
80,2024-07-01
81,2025-04-30
82,2025-03-20
83,2024-09-15
84,2024-07-14
85,2025-11-07
86,2024-09-16
87,2024-09-25
88,2025-05-18
89,2025-01-27
90,2025-01-18
91,2025-09-20
92,2025-10-30
93,2024-11-05
94,2025-01-04
95,2024-12-19
96,2025-08-05
97,2025-02-19
98,2025-10-22
99,2025-01-09
100,2024-07-30
101,2025-01-27
102,2025-11-08
103,2025-01-19
104,2025-10-29
105,2025-01-10
108,2024-09-02
109,2024-11-16
111,2025-10-15
115,2024-06-30
116,2024-10-17
118,2024-07-23
120,2024-01-18
122,2025-03-07
123,2025-07-30
124,2024-02-24
126,2024-04-15
128,2024-08-03
129,2025-10-29
130,2025-02-22
133,2025-11-14
134,2025-02-24
135,2025-10-18
136,2025-01-28
137,2025-07-08
138,2025-09-22
141,2024-04-17
142,2025-07-06
144,2024-07-23
145,2024-12-08
147,2024-03-31
149,2025-12-28
150,2025-04-12
151,2024-01-18
153,2025-06-15
154,2024-09-07
155,2024-06-25
156,2024-08-07
157,2025-01-01
158,2024-07-31
159,2024-03-15
160,2025-05-31
161,2024-08-28
162,2024-04-06
163,2025-03-20
164,2024-08-01
165,2024-01-24
166,2024-12-17
167,2025-12-28
168,2025-10-30
169,2024-10-13
170,2024-08-24
171,2025-01-12
173,2024-03-23
174,2025-12-21
175,2025-08-01
176,2024-11-26
177,2025-08-16
178,2025-11-08
179,2025-02-07
180,2025-10-18
182,2024-11-24
183,2025-01-25
184,2025-12-28
186,2024-06-11
187,2025-06-16
188,2024-10-22
189,2025-02-15
190,2025-03-15
192,2024-12-16
193,2025-03-23
195,2025-01-24
196,2024-09-16
197,2024-03-19
198,2025-11-17
199,2025-03-15
200,2024-10-12
204,2024-06-24
206,2024-07-23
207,2024-09-13
208,2024-06-30
209,2025-03-10
210,2024-10-29
211,2024-12-31
212,2025-06-20
213,2024-05-04
214,2025-12-28
215,2025-04-18
216,2025-04-30
217,2024-08-06
218,2025-10-05
219,2025-01-24
220,2025-08-12
222,2025-11-15
223,2025-05-01
224,2025-04-01
225,2024-06-21
226,2025-08-15
227,2024-04-27
229,2025-11-28
230,2024-09-28
232,2025-02-02
233,2025-10-20
236,2025-12-18
237,2024-09-24
238,2025-08-01
239,2024-07-28
240,2025-07-06
241,2025-12-28
242,2025-08-09
245,2024-06-04
246,2025-07-29
247,2024-02-24
249,2025-01-21
250,2025-12-28
251,2025-01-16
252,2024-07-14
255,2025-07-19
256,2024-10-13
257,2024-11-04
258,2024-07-01
259,2024-06-28
260,2024-01-20
261,2024-03-02
262,2025-10-31
263,2024-08-02
264,2025-04-15
265,2025-10-30
266,2024-03-28
267,2024-07-28
268,2025-04-08
269,2024-10-17
273,2025-11-18
274,2025-07-05
275,2024-02-09
276,2024-10-05
277,2025-10-26
279,2024-01-13
280,2025-11-23
282,2024-12-16
283,2024-11-21
284,2024-06-26
285,2025-03-29
287,2025-01-16
288,2025-01-19
289,2025-01-15
293,2024-06-11
294,2024-01-31
295,2024-08-09
296,2025-12-16
299,2024-08-23
301,2025-08-05
302,2025-07-16
303,2025-06-13
304,2024-10-28
305,2025-10-27
306,2024-05-13
308,2025-03-18
309,2024-03-16
310,2024-10-20
311,2025-05-11
