id_ksiazki,nr_isbn,nr_egzemplarza,tytul,autor
1,978-0-317-05096-7,1,Głupek chłop,pan Oskar Kuryłowicz
2,978-0-317-05096-7,2,Głupek chłop,pan Oskar Kuryłowicz
3,978-0-317-05096-7,3,Głupek chłop,pan Oskar Kuryłowicz
4,978-0-317-05096-7,4,Głupek chłop,pan Oskar Kuryłowicz
5,978-0-317-05096-7,5,Głupek chłop,pan Oskar Kuryłowicz
6,978-0-317-05096-7,6,Głupek chłop,pan Oskar Kuryłowicz
7,978-1-66127-635-5,1,Świeca świadczyć,pani Elżbieta Procek
8,978-1-66127-635-5,2,Świeca świadczyć,pani Elżbieta Procek
9,978-0-85825-949-2,1,Uderzenie ta one,Iwo Langa
10,978-0-85825-949-2,2,Uderzenie ta one,Iwo Langa
11,978-0-85825-949-2,3,Uderzenie ta one,Iwo Langa
12,978-0-85825-949-2,4,Uderzenie ta one,Iwo Langa
13,978-0-85825-949-2,5,Uderzenie ta one,Iwo Langa
14,978-1-77549-760-8,1,Umiejętność wysokość,Cyprian Chochół
15,978-1-77549-760-8,2,Umiejętność wysokość,Cyprian Chochół
16,978-1-77549-760-8,3,Umiejętność wysokość,Cyprian Chochół
17,978-1-77549-760-8,4,Umiejętność wysokość,Cyprian Chochół
18,978-1-77549-760-8,5,Umiejętność wysokość,Cyprian Chochół
19,978-1-5126-3376-4,1,Wysiłek skutek przed szybko,Olgierd Pokrzywa
20,978-1-5126-3376-4,2,Wysiłek skutek przed szybko,Olgierd Pokrzywa
21,978-1-5126-3376-4,3,Wysiłek skutek przed szybko,Olgierd Pokrzywa
22,978-1-5126-3376-4,4,Wysiłek skutek przed szybko,Olgierd Pokrzywa
23,978-0-10-777930-6,1,Wyrażenie wśród duch,Daniel Siwka
24,978-0-10-777930-6,2,Wyrażenie wśród duch,Daniel Siwka
25,978-0-10-777930-6,3,Wyrażenie wśród duch,Daniel Siwka
26,978-0-435-79561-0,1,Morski stały chłopiec zdjęcie wszystek,Marcel Habdas
27,978-0-435-79561-0,2,Morski stały chłopiec zdjęcie wszystek,Marcel Habdas
28,978-0-435-79561-0,3,Morski stały chłopiec zdjęcie wszystek,Marcel Habdas
29,978-0-435-79561-0,4,Morski stały chłopiec zdjęcie wszystek,Marcel Habdas
30,978-1-252-13293-0,1,Rower kiedy piosenka zabić zwolennik,Leon Szramka
31,978-1-252-13293-0,2,Rower kiedy piosenka zabić zwolennik,Leon Szramka
32,978-1-252-13293-0,3,Rower kiedy piosenka zabić zwolennik,Leon Szramka
33,978-1-86391-265-5,1,Dziura,Arkadiusz Andrys
34,978-0-7221-8657-2,1,Środa literatura wrzesień,Miłosz Goworek
35,978-0-7221-8657-2,2,Środa literatura wrzesień,Miłosz Goworek
36,978-0-7221-8657-2,3,Środa literatura wrzesień,Miłosz Goworek
37,978-0-7221-8657-2,4,Środa literatura wrzesień,Miłosz Goworek
38,978-0-7221-8657-2,5,Środa literatura wrzesień,Miłosz Goworek
39,978-0-7221-8657-2,6,Środa literatura wrzesień,Miłosz Goworek
40,978-1-357-15277-2,1,Skala musieć różowy elektryczny,Olga Zapiór
41,978-1-108-21656-2,1,Występować kontrola,Jakub Dycha
42,978-1-108-21656-2,2,Występować kontrola,Jakub Dycha
43,978-1-108-21656-2,3,Występować kontrola,Jakub Dycha
44,978-1-108-21656-2,4,Występować kontrola,Jakub Dycha
45,978-1-108-21656-2,5,Występować kontrola,Jakub Dycha
46,978-0-08-101803-3,1,Biskup,pan Jan Litwa
47,978-0-08-101803-3,2,Biskup,pan Jan Litwa
48,978-0-08-101803-3,3,Biskup,pan Jan Litwa
49,978-0-08-101803-3,4,Biskup,pan Jan Litwa
50,978-0-08-101803-3,5,Biskup,pan Jan Litwa
51,978-1-4902-1153-4,1,Ogół ośrodek lis przejście zajęcie,pan Ignacy Ragan
52,978-0-334-50233-3,1,Górny jej,Jakub Jas
53,978-0-334-50233-3,2,Górny jej,Jakub Jas
54,978-0-334-50233-3,3,Górny jej,Jakub Jas
55,978-0-334-50233-3,4,Górny jej,Jakub Jas
56,978-0-334-50233-3,5,Górny jej,Jakub Jas
57,978-0-334-50233-3,6,Górny jej,Jakub Jas
58,978-1-249-11998-2,1,Żaba kalendarz też pamiętać robotnik sobota,Mieszko Ernst
59,978-1-249-11998-2,2,Żaba kalendarz też pamiętać robotnik sobota,Mieszko Ernst
60,978-1-249-11998-2,3,Żaba kalendarz też pamiętać robotnik sobota,Mieszko Ernst
61,978-1-249-11998-2,4,Żaba kalendarz też pamiętać robotnik sobota,Mieszko Ernst
62,978-1-361-32931-3,1,Jakby sobie,pan Eryk Pieczarka
63,978-1-872056-61-6,1,Związany ciepło uciekać,Jerzy Pazdan
64,978-1-872056-61-6,2,Związany ciepło uciekać,Jerzy Pazdan
65,978-1-872056-61-6,3,Związany ciepło uciekać,Jerzy Pazdan
66,978-1-872056-61-6,4,Związany ciepło uciekać,Jerzy Pazdan
67,978-1-4375-5864-7,1,Temat smak,Leonard Sałuda
68,978-1-4375-5864-7,2,Temat smak,Leonard Sałuda
69,978-1-140-48284-0,1,Warstwa żołądek,Maks Bracha
